"Title","Summary","Comment"
"Moon (2009)","10👍",
"Primer (2004)","9👍",
"Dark City (1998)","8👍",
"Strange Days (1995)","8👍",
"Dark Star (1974)","8👍 1👎",
"Los cronocrímenes (2007)","7👍","Watch in spanish with subtitles"
"Silent Running (1972)","7👍",
"District 9 (2009)","6👍",
"Buckaroo Banzai (1984)","6👍",
"Stalker (1979)","5👍",
"Upgrade (2018)","5👍",
"Cube (1997)","4👍",
"Cypher (2002)","4👍",
"Existenz (1999)","4👍",
"Gattaca (1997)","4👍",
"Hardware (1990)","4👍",
"Space Sweepers (2021)","4👍",
"Sunshine (2007)","4👍",
"The Day The Earth Stood Still (1951)","4👍",
"The Last Starfighter (1984)","4👍",
"After Yang (2021)","3👍",
"Aniara (2018)","3👍",
"Brazil (1985)","3👍",
"Colossus: The Forbin Project (1970)","3👍",
"Death Machine (1994)","3👍",
"Equilibrium (2002)","3👍",
"Eternal Sunshine of the Spotless Mind (2004)","3👍",
"Event Horizon (1997)","3👍",
"Flash Gordon (1980)","3👍",
"Forbidden Planet (1956)","3👍",
"La Jetée (1962)","3👍",
"Logan’s run (1976)","3👍",
"Predestination (2014)","3👍",
"Prospect (2018)","3👍",
"Serenity (2005)","3👍",
"The Starlost (1973)","3👍","Series"
"2010: The Year We Make Contact (1984)","2👍",
"A Scanner Darkly (2006)","2👍",
"Advantagous (2015)","2👍",
"Alphaville (1965)","2👍",
"Altered States (1980)","2👍",
"The Andromeda Strain (1971)","2👍",
"Another Earth (2011)","2👍",
"Attack the block (2011)","2👍",
"Avalon (2001)","2👍",
"Blake’s 7 (1978)","2👍","Series"
"The Brother from Another Planet (1984)","2👍",
"Chappie (2015)","2👍",
"Children of Men (2006)","2👍",
"The City of Lost Children (1995)","2👍",
"Cloud Atlas (2012)","2👍",
"Contact (1997)","2👍",
"Delicatessen (1991)","2👍",
"Edge of Tomorrow (2014)","2👍",
"Enemy Mine (1985)","2👍",
"Europa Report (2013)","2👍",
"Her (2014)","2👍",
"The Hidden (1987)","2👍",
"I Am Mother (2019)","2👍",
"Icarus XB 1 (1963)","2👍",
"The Man From Earth (2007)","2👍",
"The Man Who Fell to Earth (1976)","2👍",
"Phase IV (1974)","2👍",
"The Quiet Earth (1985)","2👍",
"Safety Not Guaranteed (2012)","2👍",
"Solaris (1972)","2👍",
"Solaris (2002)","2👍",
"The Time Machine (1960)","2👍",
"Under the Skin (2013)","2👍",
"White Dwarf (1995)","2👍",
"The World’s End (2013)","2👍",
"Zardoz (1973)","2👍",
"Liquid Sky (1982)","2👍 1👎",
"2046 (2004)","1👍",
"12 Monkeys (1995)","1👍",
"20 000 Leagues Under The Sea","1👍","Watch any of them"
"2001: A Space Odyssey (1968)","1👍",
"A Boy and His Dog (1975)","1👍",
"The Angry Red Planet (1959)","1👍",
"The Bicentennial Man (1999)","1👍",
"The Brood (1979)","1👍",
"The City of Lost Children (1995)","1👍",
"The Clone Returns Home (2008)","1👍",
"They Cloned Tyrone (2023)","1👍",
"The Cloverfield Paradox (2018)","1👍",
"The Congress (2013)","1👍",
"Ad Astra (2019)","1👍",
"The Adjustment Bureau (2011)","1👍",
"Alien Nation (1988)","1👍",
"Alita: Battle Angel (2019)","1👍",
"All You Zombies (2011)","1👍",
"Arrival (1996)","1👍",
"Arrival (2016)","1👍",
"Atlantis: The Lost Empire (2001)","1👍",
"Automata (2014)","1👍",
"Babylon 5: The Road Home (2023)","1👍","Maybe watch the show first"
"Battle Beyond the Stars (1980)","1👍",
"Belle (2021)","1👍",
"Beyond the Infinite Two Minutes (2020)","1👍",
"Biosphere (2022)","1👍",
"Black Orpheus (1959)","1👍",
"The Brain That Wouldn’t Die (1962)","1👍",
"Brainstorm (1983)","1👍",
"The Brother from Another Planet (1984)","1👍",
"Brotherhood of the Wolf (2001)","1👍",
"Bubba-Ho-Tep (2002)","1👍",
"Cargo (2009)","1👍",
"Chrysalis (2007)","1👍",
